bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.519999999999999712e-03
6.000000000000000000e+00,2.039999999999999869e-01
7.000000000000000000e+00,6.199999999999999956e-01
8.000000000000000000e+00,7.309999999999999831e-01
9.000000000000000000e+00,7.530000000000000027e-01
1.000000000000000000e+01,7.469999999999999973e-01
1.100000000000000000e+01,7.500000000000000000e-01
1.200000000000000000e+01,7.510000000000000009e-01
1.300000000000000000e+01,7.489999999999999991e-01
1.400000000000000000e+01,7.500000000000000000e-01
1.500000000000000000e+01,7.500000000000000000e-01
1.600000000000000000e+01,7.489999999999999991e-01
1.700000000000000000e+01,7.489999999999999991e-01
1.800000000000000000e+01,7.489999999999999991e-01
1.900000000000000000e+01,7.489999999999999991e-01
2.000000000000000000e+01,7.489999999999999991e-01
2.100000000000000000e+01,7.489999999999999991e-01
2.200000000000000000e+01,7.489999999999999991e-01
2.300000000000000000e+01,7.489999999999999991e-01
2.400000000000000000e+01,7.489999999999999991e-01
2.500000000000000000e+01,7.489999999999999991e-01
2.600000000000000000e+01,7.489999999999999991e-01
2.700000000000000000e+01,7.489999999999999991e-01
2.800000000000000000e+01,7.489999999999999991e-01
2.900000000000000000e+01,7.489999999999999991e-01
3.000000000000000000e+01,7.319999999999999840e-01
3.100000000000000000e+01,7.489999999999999991e-01
3.200000000000000000e+01,7.489999999999999991e-01
